Iteration,AverageSaleValue,MinSaleValue,MaxSaleValue,Distance,Tolerance,client_numeric,day,month,sku_count_products,total_num_count_products,total_price_products,vendor_numeric,year
1,5263.17,1973.45,8018.97,0.0242343,13,-0.901096,-1.48998,-0.678251,-1.23468,-nan,-nan,-0.970038,0.255184
2,5167.62,2047.18,8227.29,0.0235263,13,-0.901096,-1.48998,-0.678251,-1.23468,0.5,0.5,-0.970038,0.255184
3,5597.25,2213.55,8215.81,0.0233271,13,-0.901096,-1.48998,-0.678251,-1.23468,0.500937,0.499063,-0.970038,0.255184
4,5298.09,2311.94,8223.82,0.0225159,13,-0.901096,-1.48998,-0.678251,-1.23468,0.499806,0.500194,-0.970038,0.255184
5,5043.5,2119.43,8134.19,0.0237844,13,-0.901096,-1.48998,-0.678251,-1.23468,0.501926,0.498074,-0.970038,0.255184
6,4773.9,2051.48,7821.7,0.0219368,13,-0.901096,-1.48998,-0.678251,-1.23468,0.497378,0.502622,-0.970038,0.255184
7,5133.13,2046.89,8166.88,0.0228556,13,-0.901096,-1.48998,-0.678251,-1.23468,0.499166,0.500834,-0.970038,0.255184
8,5380.36,2079.09,8237.74,0.0233452,13,-0.901096,-1.48998,-0.678251,-1.23468,0.50102,0.49898,-0.970038,0.255184
9,4510.82,1922.33,7518.31,0.0233479,13,-0.901096,-1.48998,-0.678251,-1.23468,0.502962,0.497038,-0.970038,0.255184
10,5363.16,2087.07,8151.06,0.023694,13,-0.901096,-1.48998,-0.678251,-1.23468,0.499778,0.500222,-0.970038,0.255184
11,5391.48,2110.65,8217.19,0.0232115,13,-0.901096,-1.48998,-0.678251,-1.23468,0.498206,0.501794,-0.970038,0.255184
12,4924.47,2163.09,7886.75,0.0251596,13,-0.901096,-1.48998,-0.678251,-1.23468,0.492416,0.507584,-0.970038,0.255184
13,5159.33,1957.33,8233.81,0.0217751,13,-0.901096,-1.48998,-0.678251,-1.23468,0.490775,0.509225,-0.970038,0.255184
14,4997.32,1903.85,8236.57,0.0231894,13,-0.901096,-1.48998,-0.678251,-1.23468,0.490689,0.509311,-0.970038,0.255184
15,4819.57,1922.1,8222.05,0.0241075,13,-0.901096,-1.48998,-0.678251,-1.23468,0.491945,0.508055,-0.970038,0.255184
16,5062.08,2016.64,8231.14,0.0236885,13,-0.901096,-1.48998,-0.678251,-1.23468,0.48663,0.51337,-0.970038,0.255184
17,5075.43,2222.34,8224.08,0.0219541,13,-0.901096,-1.48998,-0.678251,-1.23468,0.4884,0.5116,-0.970038,0.255184
18,4773.01,2024.77,8064.03,0.0237513,13,-0.901096,-1.48998,-0.678251,-1.23468,0.489369,0.510631,-0.970038,0.255184
19,5374.23,2690,8026.78,0.023765,13,-0.901096,-1.48998,-0.678251,-1.23468,0.491101,0.508899,-0.970038,0.255184
20,4893.83,1901.49,8177.83,0.0250151,13,-0.901096,-1.48998,-0.678251,-1.23468,0.48893,0.51107,-0.970038,0.255184
21,5245.59,1950.29,7998.2,0.0230553,13,-0.901096,-1.48998,-0.678251,-1.23468,0.484697,0.515303,-0.970038,0.255184
22,5028.38,2054.21,7959,0.0232383,13,-0.901096,-1.48998,-0.678251,-1.23468,0.483347,0.516653,-0.970038,0.255184
23,4777.38,2014.37,7967.32,0.0240457,13,-0.901096,-1.48998,-0.678251,-1.23468,0.486032,0.513968,-0.970038,0.255184
24,4905.78,2032.51,8251.54,0.0236755,13,-0.901096,-1.48998,-0.678251,-1.23468,0.483984,0.516016,-0.970038,0.255184
25,5234.29,2043.85,8186.67,0.0233188,13,-0.901096,-1.48998,-0.678251,-1.23468,0.486395,0.513605,-0.970038,0.255184
26,4886.75,1915.38,8150.33,0.0234822,13,-0.901096,-1.48998,-0.678251,-1.23468,0.489699,0.510301,-0.970038,0.255184
