Iteration,AverageSaleValue,MinSaleValue,MaxSaleValue,Distance,Tolerance,client_numeric,day,month,sku_count_products,total_num_count_products,total_price_products,vendor_numeric,year
1,4567.61,2561.73,8193.09,0.0219829,13,-0.819618,-0.587499,-0.386567,0.570731,0.493229,0.506771,2.28333,-0.441207
2,4882.19,2067.5,8238.88,0.0237835,13,-0.819618,-0.587499,-0.386567,0.570731,0.493048,0.506952,2.28333,-0.441207
3,4598.47,2126.86,8238.37,0.0247221,13,-0.819618,-0.587499,-0.386567,0.570731,0.497175,0.502825,2.28333,-0.441207
4,4776.44,2203.88,8238.17,0.0250979,13,-0.819618,-0.587499,-0.386567,0.570731,0.497851,0.502149,2.28333,-0.441207
5,5135.83,2237.25,8250.27,0.0223595,13,-0.819618,-0.587499,-0.386567,0.570731,0.495913,0.504087,2.28333,-0.441207
6,5019.85,2167.34,8220.73,0.0216019,13,-0.819618,-0.587499,-0.386567,0.570731,0.497086,0.502914,2.28333,-0.441207
7,4949.49,1925.54,8247.85,0.0218441,13,-0.819618,-0.587499,-0.386567,0.570731,0.491103,0.508897,2.28333,-0.441207
8,4598.74,2075.43,7785.53,0.0249078,13,-0.819618,-0.587499,-0.386567,0.570731,0.49139,0.50861,2.28333,-0.441207
9,5232.6,1917.8,8230.8,0.0228134,13,-0.819618,-0.587499,-0.386567,0.570731,0.487939,0.512061,2.28333,-0.441207
10,4839.51,2290.8,8066.49,0.0213174,13,-0.819618,-0.587499,-0.386567,0.570731,0.487115,0.512885,2.28333,-0.441207
11,4871.05,1921.01,8166.99,0.0236136,13,-0.819618,-0.587499,-0.386567,0.570731,0.479607,0.520393,2.28333,-0.441207
12,4791.22,2661.57,8189.82,0.023919,13,-0.819618,-0.587499,-0.386567,0.570731,0.482302,0.517698,2.28333,-0.441207
13,5721.64,2299.05,8246.95,0.0222863,13,-0.819618,-0.587499,-0.386567,0.570731,0.481257,0.518743,2.28333,-0.441207
14,5637.52,2293.65,8199.83,0.0237429,13,-0.819618,-0.587499,-0.386567,0.570731,0.482631,0.517369,2.28333,-0.441207
15,4879.49,2051.88,8192.15,0.0221208,13,-0.819618,-0.587499,-0.386567,0.570731,0.486439,0.513561,2.28333,-0.441207
16,4675.7,1936.48,8170.44,0.0246922,13,-0.819618,-0.587499,-0.386567,0.570731,0.489696,0.510304,2.28333,-0.441207
17,4434.11,2013.59,7634.52,0.0225831,13,-0.819618,-0.587499,-0.386567,0.570731,0.491468,0.508532,2.28333,-0.441207
18,5015.12,2060.7,7705.84,0.023127,13,-0.819618,-0.587499,-0.386567,0.570731,0.490005,0.509995,2.28333,-0.441207
19,4791.67,2159.66,8198.65,0.0243886,13,-0.819618,-0.587499,-0.386567,0.570731,0.492995,0.507005,2.28333,-0.441207
20,5034.46,1932.16,8242.15,0.0220512,13,-0.819618,-0.587499,-0.386567,0.570731,0.491756,0.508244,2.28333,-0.441207
21,5060.86,2008.87,8178.5,0.0223606,13,-0.819618,-0.587499,-0.386567,0.570731,0.489356,0.510644,2.28333,-0.441207
22,5648.15,2325,8197.64,0.0235571,13,-0.819618,-0.587499,-0.386567,0.570731,0.485036,0.514964,2.28333,-0.441207
23,4875.93,1903.32,8117.83,0.0234004,13,-0.819618,-0.587499,-0.386567,0.570731,0.484201,0.515799,2.28333,-0.441207
24,5677.56,2221.42,8243.95,0.0226192,13,-0.819618,-0.587499,-0.386567,0.570731,0.485059,0.514941,2.28333,-0.441207
25,5067.6,2015.69,8172.1,0.0215167,13,-0.819618,-0.587499,-0.386567,0.570731,0.482994,0.517006,2.28333,-0.441207
26,6068.49,2822.23,8222.7,0.0244252,13,-0.819618,-0.587499,-0.386567,0.570731,0.485524,0.514476,2.28333,-0.441207
27,4664.99,2391.81,8229.47,0.0239136,13,-0.819618,-0.587499,-0.386567,0.570731,0.483494,0.516506,2.28333,-0.441207
28,5421.99,2268.15,8184.33,0.0224608,13,-0.819618,-0.587499,-0.386567,0.570731,0.483109,0.516891,2.28333,-0.441207
29,5069.1,1919.34,8196.8,0.0236138,13,-0.819618,-0.587499,-0.386567,0.570731,0.486224,0.513776,2.28333,-0.441207
30,4839.97,1970.84,8129.64,0.0231285,13,-0.819618,-0.587499,-0.386567,0.570731,0.487339,0.512661,2.28333,-0.441207
31,5367.04,2137.97,8244.73,0.0233704,13,-0.819618,-0.587499,-0.386567,0.570731,0.484673,0.515327,2.28333,-0.441207
32,5117.71,1920.87,7799.55,0.0239478,13,-0.819618,-0.587499,-0.386567,0.570731,0.48463,0.51537,2.28333,-0.441207
33,4990.23,2028.74,8101.44,0.0238809,13,-0.819618,-0.587499,-0.386567,0.570731,0.486561,0.513439,2.28333,-0.441207
34,5091.59,2166.48,8149.81,0.0232837,13,-0.819618,-0.587499,-0.386567,0.570731,0.487684,0.512316,2.28333,-0.441207
35,5628.97,2545.32,8246.55,0.0232527,13,-0.819618,-0.587499,-0.386567,0.570731,0.490576,0.509424,2.28333,-0.441207
36,4239.45,2019.02,7699.39,0.0221863,13,-0.819618,-0.587499,-0.386567,0.570731,0.490371,0.509629,2.28333,-0.441207
37,4834.76,1930.32,8061.25,0.0223256,13,-0.819618,-0.587499,-0.386567,0.570731,0.492253,0.507747,2.28333,-0.441207
38,4855.21,2007.95,8162.42,0.0221698,13,-0.819618,-0.587499,-0.386567,0.570731,0.489212,0.510788,2.28333,-0.441207
39,5236.95,2277.84,8246.35,0.0223282,13,-0.819618,-0.587499,-0.386567,0.570731,0.491814,0.508186,2.28333,-0.441207
40,4126.35,2299.15,8196.23,0.022932,13,-0.819618,-0.587499,-0.386567,0.570731,0.492521,0.507479,2.28333,-0.441207
41,5164.12,2010.4,8208.56,0.0218015,13,-0.819618,-0.587499,-0.386567,0.570731,0.490775,0.509225,2.28333,-0.441207
42,4507.63,2003.97,8016.69,0.0225202,13,-0.819618,-0.587499,-0.386567,0.570731,0.490702,0.509298,2.28333,-0.441207
43,5791.87,2071.78,8150.05,0.0248247,13,-0.819618,-0.587499,-0.386567,0.570731,0.490621,0.509379,2.28333,-0.441207
44,5259.73,2592.48,7684.72,0.0238023,13,-0.819618,-0.587499,-0.386567,0.570731,0.490478,0.509522,2.28333,-0.441207
45,5851.99,1910.18,7990.03,0.0239741,13,-0.819618,-0.587499,-0.386567,0.570731,0.490021,0.509979,2.28333,-0.441207
46,5001.35,2027.37,8192.75,0.0215768,13,-0.819618,-0.587499,-0.386567,0.570731,0.48785,0.51215,2.28333,-0.441207
47,5280.84,1953.38,8156.28,0.0239756,13,-0.819618,-0.587499,-0.386567,0.570731,0.487549,0.512451,2.28333,-0.441207
48,5143.04,1998.56,8227.46,0.0235383,13,-0.819618,-0.587499,-0.386567,0.570731,0.488416,0.511584,2.28333,-0.441207
49,4848.92,2237.45,7456.25,0.0232963,13,-0.819618,-0.587499,-0.386567,0.570731,0.485601,0.514399,2.28333,-0.441207
50,4929.82,2106.41,8162.41,0.0241091,13,-0.819618,-0.587499,-0.386567,0.570731,0.488796,0.511204,2.28333,-0.441207
