Day,Price
1,212.192
2,173.377
3,153.18
4,236.406
5,222.082
6,253.271
7,245.599
8,216.683
9,222.32
10,204.82
11,263.102
12,200.812
13,211.614
14,233.617
15,191.716
16,258.918
17,195.462
18,185.914
19,163.587
20,268.772
21,133.134
22,237.145
23,257.226
24,211.805
25,230.589
26,224.946
27,241.774
28,210.181
29,210.293
30,124.302
