Day,Price
1,226.939
2,117.187
3,105.88
4,174.704
5,309.71
6,295.394
7,285.145
8,158.854
9,174.237
10,219.918
11,324.668
12,108.745
13,198.275
14,318.177
15,189.254
16,185.038
17,175.103
18,218.729
19,138.96
20,341.858
21,115.868
22,173.393
23,317.569
24,183.145
25,131.405
26,341.483
27,311.763
28,247.31
29,187.787
30,136.165
