client_numeric;vendor_numeric;year;month;day;sku_count_products;total_num_count_products;total_price_products
13498;125;2022;5;6;23;246;612721
3704;119;2022;5;9;17;212;318205
3794;58;2022;5;9;15;33;72499
8358;10;2022;5;12;25;125;264666
7260;24;2022;5;12;34;168;266223
2793;89;2022;5;12;16;96;186885
2529;103;2022;5;13;17;32;86741
17779;37;2022;5;12;29;69;130281
976;46;2022;5;13;16;178;182472
6662;37;2022;5;16;12;78;162648
850;5;2022;5;17;13;18;54502
12373;19;2022;5;17;20;45;130381
570;20;2022;5;16;18;34;149160
6296;147;2022;5;18;27;88;146119
969;55;2022;5;19;22;98;230815
2087;115;2022;5;20;27;46;167768
15846;37;2022;5;20;13;29;42381
14377;137;2022;5;23;4;84;127428
15846;37;2022;5;20;14;31;50417
14210;118;2022;5;20;5;36;249414
128;66;2022;5;23;22;57;82554
19378;39;2022;5;20;16;54;166849
5992;8;2022;5;23;38;124;156020
5203;39;2022;5;24;5;8;30813
4186;46;2022;5;24;28;182;508735
2260;97;2022;5;24;38;280;629983
6933;95;2022;5;25;7;35;154630
361;96;2022;5;26;6;23;34111
8974;82;2022;5;26;6;29;71637
6689;106;2022;5;26;26;131;257984
5183;37;2022;5;26;7;20;77201
10358;37;2022;5;27;18;79;134663
8323;41;2022;5;27;14;53;143589
6092;37;2022;5;27;13;56;145612
11459;33;2022;5;31;25;286;329182
7356;88;2022;5;31;8;34;85144
19706;50;2022;6;1;9;254;225850
249;44;2022;5;31;2;3;7136
4733;108;2022;5;31;18;40;56705
948;3;2022;6;1;2;9;26102
1018;19;2022;6;2;18;75;113305
3912;51;2022;6;3;14;27;29629
18940;37;2022;6;3;6;35;50698
206;42;2022;6;3;18;80;128301
4727;37;2022;6;6;41;330;395356
1935;97;2022;6;4;16;24;35502
13498;125;2022;6;8;19;99;512205
2658;96;2022;6;9;4;8;13822
2793;89;2022;6;7;8;39;137259
1931;37;2022;6;8;24;124;144038
14479;21;2022;6;8;7;18;66595
15681;37;2022;6;9;14;108;276957
15024;83;2022;6;10;12;73;62635
3903;147;2022;6;9;3;19;122420
3903;147;2022;6;9;9;63;346274
9644;154;2022;6;8;9;15;28833
6621;63;2022;6;9;18;196;345763
293;65;2022;6;10;69;389;808548
6502;37;2022;6;9;14;47;92164
8446;37;2022;6;9;18;68;218591
6662;37;2022;6;13;18;57;66491
17793;85;2022;6;15;16;24;58455
11599;66;2022;6;15;24;128;339468
969;55;2022;6;17;22;94;135283
18194;50;2022;6;23;15;124;311410
7382;65;2022;6;22;13;427;333986
18442;37;2022;6;20;8;16;63857
6994;103;2022;6;22;21;75;91952
6092;37;2022;6;24;10;51;149890
2642;44;2022;6;24;11;24;45935
11829;37;2022;6;28;19;160;292938
9717;37;2022;6;28;33;149;229658
6858;106;2022;6;29;57;416;335447
680;88;2022;6;29;48;291;312449
20352;65;2022;6;29;22;119;152641
3761;37;2022;6;30;30;139;213370
10552;57;2022;6;30;31;73;102641
1043;32;2022;6;30;17;32;55992
1942;12;2022;6;30;17;33;84025
2573;90;2022;6;30;16;47;111667
18372;70;2022;7;1;10;22;52000
947;28;2022;7;4;39;362;393983
5470;48;2022;7;1;21;72;149704
1121;138;2022;7;4;9;32;120134
1018;19;2022;7;5;16;66;106481
10757;149;2022;7;4;4;110;164150
810;102;2022;7;5;63;306;594968
6662;37;2022;7;6;14;74;103633
10017;9;2022;7;6;15;57;138449
6044;82;2022;7;7;21;510;311411
6579;55;2022;7;8;24;61;191064
2127;38;2022;7;8;33;144;216313
9883;76;2022;7;11;16;58;135652
9379;37;2022;7;11;13;21;34141
4301;125;2022;7;12;14;35;92424
2793;89;2022;7;12;10;47;62363
16599;37;2022;7;11;30;205;242283
6502;37;2022;7;12;23;64;106682
4435;37;2022;7;12;21;221;199745
391;30;2022;7;12;7;17;37061
5588;76;2022;7;13;9;34;61164
4727;37;2022;7;14;28;219;512138
18939;9;2022;7;14;21;468;672080
8800;37;2022;7;13;10;15;41625
13548;86;2022;7;18;19;145;312303
2669;65;2022;7;18;20;56;115952
13742;37;2022;7;21;24;194;424057
10948;80;2022;7;20;31;159;139006
8323;111;2022;7;22;17;77;142145
15681;37;2022;7;22;10;100;199131
13498;125;2022;7;25;13;91;297188
13509;37;2022;7;25;27;107;202052
19439;106;2022;7;25;11;60;162176
7067;18;2022;7;26;24;96;170990
877;104;2022;7;25;23;303;494356
3794;24;2022;7;25;9;14;54863
5183;37;2022;7;26;16;80;117703
6436;21;2022;7;27;32;319;726163
6092;37;2022;7;27;15;42;88762
2195;30;2022;7;26;28;49;98638
293;65;2022;7;28;12;69;321852
