client_numeric;vendor_numeric;year;month;day;sku_count_products;total_num_count_products;total_price_products
82;8;2022;1;12;6;32;65580
355;37;2022;1;11;6;7;25381
118;49;2022;1;12;3;15;30193
5548;130;2022;1;12;3;47;65529
312;11;2022;1;11;1;36;255456
1194;95;2022;1;12;2;29;69005
5914;8;2022;1;11;46;167;312721
5961;109;2022;1;11;10;352;328273
5658;37;2022;1;11;3;5;17034
5966;13;2022;1;11;15;48;54026
5983;136;2022;1;13;22;404;168971
1740;96;2022;1;11;16;335;259099
6020;123;2022;1;14;24;687;452544
6034;37;2022;1;13;24;84;153924
3203;51;2022;1;12;19;274;235331
6051;94;2022;1;11;10;38;111328
6066;27;2022;1;11;9;14;28132
3252;3;2022;1;12;15;62;88017
6123;9;2022;1;12;26;116;237051
177;154;2022;1;12;12;301;141219
6134;37;2022;1;14;23;93;161854
6141;27;2022;1;12;45;1655;2809361
4034;3;2022;1;12;7;49;87406
6170;27;2022;1;13;26;123;171902
6203;37;2022;1;12;12;18;71382
4528;75;2022;1;12;9;23;85718
6248;17;2022;1;13;15;67;219831
6250;37;2022;1;12;20;95;157129
285;13;2022;1;13;4;7;25519
3086;57;2022;1;12;1;10;33600
6316;37;2022;1;13;13;38;85456
6323;39;2022;1;13;7;16;35791
6383;13;2022;1;13;15;151;132314
6406;154;2022;1;13;8;69;170997
6410;104;2022;1;13;19;540;627030
3155;59;2022;1;13;13;142;218097
6442;39;2022;1;13;15;52;123424
2054;43;2022;1;14;46;377;946021
152;72;2022;1;12;6;102;42684
6460;11;2022;1;12;17;133;213523
811;75;2022;1;13;5;27;119877
6486;37;2022;1;12;37;81;144508
6499;31;2022;1;13;16;284;249386
6502;37;2022;1;13;12;39;49886
6495;88;2022;1;13;18;136;218060
6512;37;2022;1;13;21;617;809108
6515;3;2022;1;13;45;184;226470
6565;23;2022;1;12;11;71;104240
6573;91;2022;1;13;13;81;143032
6592;82;2022;1;20;11;69;88580
6638;2;2022;1;12;14;57;86121
6643;39;2022;1;12;16;107;252941
2360;15;2022;1;13;13;48;193536
47;10;2022;1;19;3;7;25472
6713;100;2022;1;12;10;40;165367
6727;58;2022;1;13;13;68;157727
2145;12;2022;1;13;14;98;112727
6763;123;2022;1;12;14;29;53807
6779;59;2022;1;13;36;227;456560
6789;37;2022;1;13;12;60;57030
6846;44;2022;1;13;10;76;79772
6850;41;2022;1;13;13;26;104068
6851;3;2022;1;13;10;116;56176
4974;3;2022;1;13;14;70;105768
1991;41;2022;1;14;5;6;11494
4969;16;2022;1;14;22;93;278977
98;54;2022;1;14;11;86;112250
1721;154;2022;1;13;7;90;240140
4163;119;2022;1;13;54;666;774845
5341;8;2022;1;14;2;4;19239
6968;106;2022;1;13;23;120;397383
6971;114;2022;1;13;19;85;101471
5038;37;2022;1;14;4;233;652415
3910;8;2022;1;14;8;20;48220
7019;19;2022;1;13;21;67;117442
656;17;2022;1;13;11;249;258579
7040;73;2022;1;14;13;59;147246
7042;111;2022;1;14;39;318;396710
5582;39;2022;1;13;14;48;100969
475;9;2022;1;13;3;20;42444
6954;115;2022;1;14;15;82;116308
4797;12;2022;1;14;7;14;52119
1758;23;2022;1;14;39;253;604803
4797;12;2022;1;14;12;77;165866
1041;49;2022;1;13;3;3;11072
5740;23;2022;1;13;3;9;35045
7112;94;2022;1;14;8;17;42930
5080;20;2022;1;13;60;201;110570
98;54;2022;1;14;14;87;215802
4797;12;2022;1;14;3;11;44256
98;54;2022;1;14;18;270;274952
2377;45;2022;1;13;26;58;98135
7209;15;2022;1;13;32;141;193783
661;45;2022;1;13;27;75;110254
7217;111;2022;1;14;24;133;240097
1243;83;2022;1;14;12;129;269222
402;63;2022;1;14;7;42;150767
7235;1;2022;1;14;84;11214;7344139
7247;13;2022;1;18;20;139;203807
7253;96;2022;1;13;1;3;11817
6184;9;2022;1;14;2;4;25242
7274;123;2022;1;14;10;130;71856
7283;26;2022;1;17;15;62;90853
7287;107;2022;1;17;25;188;330460
7288;27;2022;1;17;12;47;63170
6106;105;2022;1;17;16;101;267584
7309;123;2022;1;14;12;170;228402
634;118;2022;1;13;8;23;40552
581;22;2022;1;18;11;181;297037
7342;27;2022;1;17;10;15;49756
3398;90;2022;1;18;9;355;142991
344;5;2022;1;17;24;139;187745
7401;68;2022;1;17;15;56;135227
3220;93;2022;1;17;17;221;720862
7407;44;2022;1;17;26;78;310680
3496;32;2022;1;17;4;38;143744
981;37;2022;1;14;7;80;59343
7437;27;2022;1;17;10;35;77381
7450;37;2022;1;17;6;60;223066
811;75;2022;1;17;7;20;133404
827;123;2022;1;17;66;1367;1272006
2903;32;2022;1;17;7;22;52506
7556;72;2022;1;17;28;134;432958
7569;104;2022;1;17;18;126;164063
7579;31;2022;1;17;33;219;265835
183;22;2022;1;18;31;468;343063
7611;27;2022;1;17;30;685;187131
4684;100;2022;1;14;8;29;160463
7620;123;2022;1;17;21;82;126228
7627;37;2022;1;17;21;89;122306
365;3;2022;1;18;24;138;221682
7707;38;2022;1;17;29;101;93500
673;16;2022;1;18;6;169;254791
5546;101;2022;1;17;7;93;93546
107;61;2022;1;18;13;54;186379
7813;57;2022;1;18;2;6;32220
667;73;2022;1;18;10;19;129158
1338;32;2022;1;17;15;58;139238
6876;62;2022;1;17;33;496;209821
2587;72;2022;1;17;11;231;216330
7900;41;2022;1;18;12;17;30255
7903;2;2022;1;17;8;14;37428
4306;57;2022;1;18;30;520;631781
667;73;2022;1;18;14;60;44298
7569;104;2022;1;17;18;126;164063
3370;19;2022;1;17;16;96;86972
7991;84;2022;1;17;19;36;277857
3255;57;2022;1;17;14;17;68418
918;39;2022;1;18;10;39;93788
8020;110;2022;1;18;4;16;30233
8031;97;2022;1;17;13;291;192316
8097;101;2022;1;18;8;21;38937
7319;94;2022;1;18;4;8;58722
