Day,Price
1,313.251
2,316.556
3,104.365
4,100.108
5,104.565
6,96.3173
7,96.8533
8,113.926
9,112.291
10,113.091
11,93.6651
12,105.618
13,99.3987
14,100.397
15,109.332
16,113.38
17,98.6417
18,97.5371
19,94.3509
20,105.474
21,102.403
22,104.97
23,96.5184
24,112.167
25,109.739
26,102.913
27,100.318
28,111.428
29,101.414
30,110
